time,timemin,temp
0,0.00,8
10,0.17,8
20,0.33,8
30,0.50,8
40,0.67,8
50,0.83,8.25
60,1.00,8.25
70,1.17,8.75
80,1.33,9
90,1.50,9.5
100,1.67,9.75
110,1.83,10
120,2.00,10
130,2.17,10.25
140,2.33,10.5
150,2.50,10.5
160,2.67,10.75
170,2.83,11
180,3.00,11.25
190,3.17,11.5
200,3.33,11.75
210,3.50,11.75
220,3.67,12
230,3.83,12
240,4.00,12
250,4.17,12
260,4.33,12.25
270,4.50,12.5
280,4.67,13.25
290,4.83,13.5
300,5.00,13.75
310,5.17,13.75
320,5.33,13.75
330,5.50,14
340,5.67,14.25
350,5.83,14.25
360,6.00,14.25
370,6.17,14.5
380,6.33,14.5
390,6.50,14.75
400,6.67,15
410,6.83,15
420,7.00,15.25
430,7.17,15.5
440,7.33,15.5
450,7.50,15.75
460,7.67,15.75
470,7.83,16
480,8.00,16.25
490,8.17,16.5
500,8.33,16.5
510,8.50,16.75
520,8.67,17
530,8.83,17
540,9.00,17.25
550,9.17,17.25
560,9.33,17.75
570,9.50,17.75
580,9.67,17.75
590,9.83,18
600,10.00,18.25
610,10.17,18.5
620,10.33,18.5
630,10.50,18.75
640,10.67,19
650,10.83,19
660,11.00,19.25
670,11.17,19.5
680,11.33,19.75
690,11.50,19.75
700,11.67,20
710,11.83,20
720,12.00,20.25
730,12.17,20.5
740,12.33,20.75
750,12.50,20.75
760,12.67,21
770,12.83,21.25
780,13.00,21.25
790,13.17,21.5
800,13.33,21.75
810,13.50,21.75
820,13.67,22
830,13.83,22
840,14.00,22.25
850,14.17,22.5
860,14.33,22.75
870,14.50,22.75
880,14.67,23
890,14.83,23.25
900,15.00,23.5
910,15.17,23.75
920,15.33,23.75
930,15.50,24
940,15.67,24
950,15.83,24.25
960,16.00,24.5
970,16.17,24.5
980,16.33,24.75
990,16.50,24.75
1000,16.67,25
1010,16.83,25.25
1020,17.00,25.25
1030,17.17,25.5
1040,17.33,25.75
1050,17.50,26
1060,17.67,26
1070,17.83,26.25
1080,18.00,26.5
1090,18.17,26.75
1100,18.33,26.75
1110,18.50,27
1120,18.67,27.25
1130,18.83,27.25
1140,19.00,27.5
1150,19.17,27.5
1160,19.33,27.75
1170,19.50,27.75
1180,19.67,28.25
1190,19.83,28.25
1200,20.00,28.5
1210,20.17,28.75
1220,20.33,29
1230,20.50,29
1240,20.67,29.25
1250,20.83,29.5
1260,21.00,29.5
1270,21.17,29.75
1280,21.33,29.75
1290,21.50,30
1300,21.67,30
1310,21.83,30.25
1320,22.00,30.5
1330,22.17,30.75
1340,22.33,31.25
